i: 1, data: 158, previous:159, count: 0, line:decreased
i: 41, data: 347, previous:341, count: 36, line:increased
i: 42, data: 349, previous:347, count: 37, line:increased
i: 43, data: 350, previous:349, count: 38, line:increased
i: 44, data: 367, previous:350, count: 39, line:increased
i: 45, data: 370, previous:367, count: 40, line:increased
i: 46, data: 378, previous:370, count: 41, line:increased
i: 47, data: 379, previous:378, count: 42, line:increased
i: 48, data: 378, previous:379, count: 42, line:decreased
i: 49, data: 379, previous:378, count: 43, line:increased
i: 50, data: 389, previous:379, count: 44, line:increased
i: 51, data: 390, previous:389, count: 45, line:increased
i: 52, data: 393, previous:390, count: 46, line:increased
i: 53, data: 388, previous:393, count: 46, line:decreased
i: 54, data: 393, previous:388, count: 47, line:increased
i: 55, data: 402, previous:393, count: 48, line:increased
i: 56, data: 405, previous:402, count: 49, line:increased
i: 57, data: 404, previous:405, count: 49, line:decreased
i: 58, data: 402, previous:404, count: 49, line:decreased
i: 59, data: 410, previous:402, count: 50, line:increased
i: 60, data: 411, previous:410, count: 51, line:increased
i: 61, data: 441, previous:411, count: 52, line:increased
i: 62, data: 449, previous:441, count: 53, line:increased
i: 63, data: 448, previous:449, count: 53, line:decreased
i: 64, data: 449, previous:448, count: 54, line:increased
i: 65, data: 450, previous:449, count: 55, line:increased
i: 66, data: 412, previous:450, count: 55, line:decreased
i: 67, data: 414, previous:412, count: 56, line:increased
i: 68, data: 415, previous:414, count: 57, line:increased
i: 69, data: 418, previous:415, count: 58, line:increased
i: 70, data: 420, previous:418, count: 59, line:increased
i: 71, data: 440, previous:420, count: 60, line:increased
i: 72, data: 439, previous:440, count: 60, line:decreased
i: 73, data: 458, previous:439, count: 61, line:increased
i: 74, data: 459, previous:458, count: 62, line:increased
i: 75, data: 457, previous:459, count: 62, line:decreased
i: 76, data: 463, previous:457, count: 63, line:increased
i: 77, data: 465, previous:463, count: 64, line:increased
i: 78, data: 469, previous:465, count: 65, line:increased
i: 79, data: 470, previous:469, count: 66, line:increased
i: 80, data: 479, previous:470, count: 67, line:increased
i: 81, data: 480, previous:479, count: 68, line:increased
i: 82, data: 481, previous:480, count: 69, line:increased
i: 83, data: 482, previous:481, count: 70, line:increased
i: 84, data: 475, previous:482, count: 70, line:decreased
i: 85, data: 468, previous:475, count: 70, line:decreased
i: 86, data: 467, previous:468, count: 70, line:decreased
i: 87, data: 472, previous:467, count: 71, line:increased
i: 88, data: 484, previous:472, count: 72, line:increased
i: 89, data: 486, previous:484, count: 73, line:increased
i: 90, data: 498, previous:486, count: 74, line:increased
i: 91, data: 489, previous:498, count: 74, line:decreased
i: 92, data: 493, previous:489, count: 75, line:increased
i: 93, data: 511, previous:493, count: 76, line:increased
i: 94, data: 510, previous:511, count: 76, line:decreased
i: 95, data: 493, previous:510, count: 76, line:decreased
i: 96, data: 495, previous:493, count: 77, line:increased
i: 97, data: 494, previous:495, count: 77, line:decreased
i: 98, data: 514, previous:494, count: 78, line:increased
i: 99, data: 517, previous:514, count: 79, line:increased
i: 100, data: 520, previous:517, count: 80, line:increased
i: 101, data: 521, previous:520, count: 81, line:increased
i: 102, data: 544, previous:521, count: 82, line:increased
i: 103, data: 557, previous:544, count: 83, line:increased
i: 104, data: 563, previous:557, count: 84, line:increased
i: 105, data: 565, previous:563, count: 85, line:increased
i: 106, data: 568, previous:565, count: 86, line:increased
i: 107, data: 572, previous:568, count: 87, line:increased
i: 108, data: 571, previous:572, count: 87, line:decreased
i: 109, data: 572, previous:571, count: 88, line:increased
i: 110, data: 575, previous:572, count: 89, line:increased
i: 111, data: 584, previous:575, count: 90, line:increased
i: 112, data: 583, previous:584, count: 90, line:decreased
i: 113, data: 599, previous:583, count: 91, line:increased
i: 114, data: 600, previous:599, count: 92, line:increased
i: 115, data: 605, previous:600, count: 93, line:increased
i: 116, data: 612, previous:605, count: 94, line:increased
i: 117, data: 615, previous:612, count: 95, line:increased
i: 118, data: 618, previous:615, count: 96, line:increased
i: 119, data: 625, previous:618, count: 97, line:increased
i: 120, data: 627, previous:625, count: 98, line:increased
i: 121, data: 633, previous:627, count: 99, line:increased
i: 122, data: 663, previous:633, count: 100, line:increased
i: 123, data: 665, previous:663, count: 101, line:increased
i: 124, data: 666, previous:665, count: 102, line:increased
i: 125, data: 669, previous:666, count: 103, line:increased
i: 126, data: 683, previous:669, count: 104, line:increased
i: 127, data: 706, previous:683, count: 105, line:increased
i: 128, data: 716, previous:706, count: 106, line:increased
i: 129, data: 722, previous:716, count: 107, line:increased
i: 130, data: 731, previous:722, count: 108, line:increased
i: 131, data: 734, previous:731, count: 109, line:increased
i: 132, data: 739, previous:734, count: 110, line:increased
i: 133, data: 741, previous:739, count: 111, line:increased
i: 134, data: 754, previous:741, count: 112, line:increased
i: 135, data: 760, previous:754, count: 113, line:increased
i: 136, data: 765, previous:760, count: 114, line:increased
i: 137, data: 783, previous:765, count: 115, line:increased
i: 138, data: 788, previous:783, count: 116, line:increased
i: 139, data: 795, previous:788, count: 117, line:increased
i: 140, data: 811, previous:795, count: 118, line:increased
i: 141, data: 813, previous:811, count: 119, line:increased
i: 142, data: 818, previous:813, count: 120, line:increased
i: 143, data: 805, previous:818, count: 120, line:decreased
i: 144, data: 816, previous:805, count: 121, line:increased
i: 145, data: 821, previous:816, count: 122, line:increased
i: 146, data: 829, previous:821, count: 123, line:increased
i: 147, data: 830, previous:829, count: 124, line:increased
i: 148, data: 854, previous:830, count: 125, line:increased
i: 149, data: 855, previous:854, count: 126, line:increased
i: 150, data: 850, previous:855, count: 126, line:decreased
i: 151, data: 859, previous:850, count: 127, line:increased
i: 152, data: 860, previous:859, count: 128, line:increased
i: 153, data: 866, previous:860, count: 129, line:increased
i: 154, data: 867, previous:866, count: 130, line:increased
i: 155, data: 866, previous:867, count: 130, line:decreased
i: 156, data: 867, previous:866, count: 131, line:increased
i: 157, data: 874, previous:867, count: 132, line:increased
i: 158, data: 875, previous:874, count: 133, line:increased
i: 159, data: 876, previous:875, count: 134, line:increased
i: 160, data: 870, previous:876, count: 134, line:decreased
i: 161, data: 875, previous:870, count: 135, line:increased
i: 162, data: 878, previous:875, count: 136, line:increased
i: 163, data: 880, previous:878, count: 137, line:increased
i: 164, data: 884, previous:880, count: 138, line:increased
i: 165, data: 898, previous:884, count: 139, line:increased
i: 166, data: 915, previous:898, count: 140, line:increased
i: 167, data: 918, previous:915, count: 141, line:increased
i: 168, data: 922, previous:918, count: 142, line:increased
i: 169, data: 923, previous:922, count: 143, line:increased
i: 170, data: 949, previous:923, count: 144, line:increased
i: 171, data: 942, previous:949, count: 144, line:decreased
i: 172, data: 945, previous:942, count: 145, line:increased
i: 173, data: 949, previous:945, count: 146, line:increased
i: 174, data: 970, previous:949, count: 147, line:increased
i: 175, data: 956, previous:970, count: 147, line:decreased
i: 176, data: 969, previous:956, count: 148, line:increased
i: 177, data: 964, previous:969, count: 148, line:decreased
i: 178, data: 972, previous:964, count: 149, line:increased
i: 179, data: 973, previous:972, count: 150, line:increased
i: 180, data: 975, previous:973, count: 151, line:increased
i: 181, data: 974, previous:975, count: 151, line:decreased
i: 182, data: 970, previous:974, count: 151, line:decreased
i: 183, data: 989, previous:970, count: 152, line:increased
i: 184, data: 990, previous:989, count: 153, line:increased
i: 185, data: 993, previous:990, count: 154, line:increased
i: 186, data: 994, previous:993, count: 155, line:increased
i: 187, data: 1002, previous:994, count: 156, line:decreased
i: 188, data: 1003, previous:1002, count: 157, line:increased
i: 189, data: 1007, previous:1003, count: 158, line:increased
i: 190, data: 1013, previous:1007, count: 159, line:increased
i: 191, data: 1025, previous:1013, count: 160, line:increased
i: 192, data: 1035, previous:1025, count: 161, line:increased
i: 193, data: 1033, previous:1035, count: 161, line:decreased
i: 194, data: 1040, previous:1033, count: 162, line:increased
i: 195, data: 1045, previous:1040, count: 163, line:increased
i: 196, data: 1055, previous:1045, count: 164, line:increased
i: 197, data: 1056, previous:1055, count: 165, line:increased
i: 198, data: 1057, previous:1056, count: 166, line:increased
i: 199, data: 1059, previous:1057, count: 167, line:increased
i: 200, data: 1060, previous:1059, count: 168, line:increased
i: 201, data: 1063, previous:1060, count: 169, line:increased
i: 202, data: 1051, previous:1063, count: 169, line:decreased
i: 203, data: 1056, previous:1051, count: 170, line:increased
i: 204, data: 1057, previous:1056, count: 171, line:increased
i: 205, data: 1047, previous:1057, count: 171, line:decreased
i: 206, data: 1054, previous:1047, count: 172, line:increased
i: 207, data: 1055, previous:1054, count: 173, line:increased
i: 208, data: 1051, previous:1055, count: 173, line:decreased
i: 209, data: 1052, previous:1051, count: 174, line:increased
i: 210, data: 1058, previous:1052, count: 175, line:increased
i: 211, data: 1061, previous:1058, count: 176, line:increased
i: 212, data: 1066, previous:1061, count: 177, line:increased
i: 213, data: 1067, previous:1066, count: 178, line:increased
i: 214, data: 1070, previous:1067, count: 179, line:increased
i: 215, data: 1074, previous:1070, count: 180, line:increased
i: 216, data: 1075, previous:1074, count: 181, line:increased
i: 217, data: 1076, previous:1075, count: 182, line:increased
i: 218, data: 1084, previous:1076, count: 183, line:increased
i: 219, data: 1122, previous:1084, count: 184, line:increased
i: 220, data: 1128, previous:1122, count: 185, line:increased
i: 221, data: 1140, previous:1128, count: 186, line:increased
i: 222, data: 1141, previous:1140, count: 187, line:increased
i: 223, data: 1139, previous:1141, count: 187, line:decreased
i: 224, data: 1152, previous:1139, count: 188, line:increased
i: 225, data: 1151, previous:1152, count: 188, line:decreased
i: 226, data: 1152, previous:1151, count: 189, line:increased
i: 227, data: 1156, previous:1152, count: 190, line:increased
i: 228, data: 1167, previous:1156, count: 191, line:increased
i: 229, data: 1166, previous:1167, count: 191, line:decreased
i: 230, data: 1165, previous:1166, count: 191, line:decreased
i: 231, data: 1169, previous:1165, count: 192, line:increased
i: 232, data: 1162, previous:1169, count: 192, line:decreased
i: 233, data: 1175, previous:1162, count: 193, line:increased
i: 234, data: 1202, previous:1175, count: 194, line:increased
i: 235, data: 1212, previous:1202, count: 195, line:increased
i: 236, data: 1218, previous:1212, count: 196, line:increased
i: 237, data: 1219, previous:1218, count: 197, line:increased
i: 238, data: 1240, previous:1219, count: 198, line:increased
i: 239, data: 1238, previous:1240, count: 198, line:decreased
i: 240, data: 1224, previous:1238, count: 198, line:decreased
i: 241, data: 1230, previous:1224, count: 199, line:increased
i: 242, data: 1245, previous:1230, count: 200, line:increased
i: 243, data: 1253, previous:1245, count: 201, line:increased
i: 244, data: 1285, previous:1253, count: 202, line:increased
i: 245, data: 1295, previous:1285, count: 203, line:increased
i: 246, data: 1297, previous:1295, count: 204, line:increased
i: 247, data: 1309, previous:1297, count: 205, line:increased
i: 248, data: 1323, previous:1309, count: 206, line:increased
i: 249, data: 1329, previous:1323, count: 207, line:increased
i: 250, data: 1333, previous:1329, count: 208, line:increased
i: 251, data: 1336, previous:1333, count: 209, line:increased
i: 252, data: 1339, previous:1336, count: 210, line:increased
i: 253, data: 1318, previous:1339, count: 210, line:decreased
i: 254, data: 1321, previous:1318, count: 211, line:increased
i: 255, data: 1318, previous:1321, count: 211, line:decreased
i: 256, data: 1345, previous:1318, count: 212, line:increased
i: 257, data: 1347, previous:1345, count: 213, line:increased
i: 258, data: 1349, previous:1347, count: 214, line:increased
i: 259, data: 1352, previous:1349, count: 215, line:increased
i: 260, data: 1353, previous:1352, count: 216, line:increased
i: 261, data: 1360, previous:1353, count: 217, line:increased
i: 262, data: 1358, previous:1360, count: 217, line:decreased
i: 263, data: 1345, previous:1358, count: 217, line:decreased
i: 264, data: 1352, previous:1345, count: 218, line:increased
i: 265, data: 1356, previous:1352, count: 219, line:increased
i: 266, data: 1357, previous:1356, count: 220, line:increased
i: 267, data: 1370, previous:1357, count: 221, line:increased
i: 268, data: 1373, previous:1370, count: 222, line:increased
i: 269, data: 1393, previous:1373, count: 223, line:increased
i: 270, data: 1423, previous:1393, count: 224, line:increased
i: 271, data: 1424, previous:1423, count: 225, line:increased
i: 272, data: 1431, previous:1424, count: 226, line:increased
i: 273, data: 1447, previous:1431, count: 227, line:increased
i: 274, data: 1454, previous:1447, count: 228, line:increased
i: 275, data: 1444, previous:1454, count: 228, line:decreased
i: 276, data: 1470, previous:1444, count: 229, line:increased
i: 277, data: 1477, previous:1470, count: 230, line:increased
i: 278, data: 1479, previous:1477, count: 231, line:increased
i: 279, data: 1485, previous:1479, count: 232, line:increased
i: 280, data: 1483, previous:1485, count: 232, line:decreased
i: 281, data: 1497, previous:1483, count: 233, line:increased
i: 282, data: 1518, previous:1497, count: 234, line:increased
i: 283, data: 1536, previous:1518, count: 235, line:increased
i: 284, data: 1539, previous:1536, count: 236, line:increased
i: 285, data: 1544, previous:1539, count: 237, line:increased
i: 286, data: 1549, previous:1544, count: 238, line:increased
i: 287, data: 1558, previous:1549, count: 239, line:increased
i: 288, data: 1557, previous:1558, count: 239, line:decreased
i: 289, data: 1581, previous:1557, count: 240, line:increased
i: 290, data: 1585, previous:1581, count: 241, line:increased
i: 291, data: 1591, previous:1585, count: 242, line:increased
i: 292, data: 1632, previous:1591, count: 243, line:increased
i: 293, data: 1633, previous:1632, count: 244, line:increased
i: 294, data: 1636, previous:1633, count: 245, line:increased
i: 295, data: 1639, previous:1636, count: 246, line:increased
i: 296, data: 1633, previous:1639, count: 246, line:decreased
i: 297, data: 1637, previous:1633, count: 247, line:increased
i: 298, data: 1638, previous:1637, count: 248, line:increased
i: 299, data: 1639, previous:1638, count: 249, line:increased
i: 300, data: 1640, previous:1639, count: 250, line:increased
i: 301, data: 1642, previous:1640, count: 251, line:increased
i: 302, data: 1658, previous:1642, count: 252, line:increased
i: 303, data: 1676, previous:1658, count: 253, line:increased
i: 304, data: 1675, previous:1676, count: 253, line:decreased
i: 305, data: 1707, previous:1675, count: 254, line:increased
i: 306, data: 1708, previous:1707, count: 255, line:increased
i: 307, data: 1709, previous:1708, count: 256, line:increased
i: 308, data: 1710, previous:1709, count: 257, line:increased
i: 309, data: 1711, previous:1710, count: 258, line:increased
i: 310, data: 1715, previous:1711, count: 259, line:increased
i: 311, data: 1707, previous:1715, count: 259, line:decreased
i: 312, data: 1712, previous:1707, count: 260, line:increased
i: 313, data: 1733, previous:1712, count: 261, line:increased
i: 314, data: 1734, previous:1733, count: 262, line:increased
i: 315, data: 1732, previous:1734, count: 262, line:decreased
i: 316, data: 1722, previous:1732, count: 262, line:decreased
i: 317, data: 1730, previous:1722, count: 263, line:increased
i: 318, data: 1746, previous:1730, count: 264, line:increased
i: 319, data: 1747, previous:1746, count: 265, line:increased
i: 320, data: 1748, previous:1747, count: 266, line:increased
i: 321, data: 1749, previous:1748, count: 267, line:increased
i: 322, data: 1755, previous:1749, count: 268, line:increased
i: 323, data: 1759, previous:1755, count: 269, line:increased
i: 324, data: 1771, previous:1759, count: 270, line:increased
i: 325, data: 1772, previous:1771, count: 271, line:increased
i: 326, data: 1771, previous:1772, count: 271, line:decreased
i: 327, data: 1770, previous:1771, count: 271, line:decreased
i: 328, data: 1771, previous:1770, count: 272, line:increased
i: 329, data: 1773, previous:1771, count: 273, line:increased
i: 330, data: 1772, previous:1773, count: 273, line:decreased
i: 331, data: 1771, previous:1772, count: 273, line:decreased
i: 332, data: 1780, previous:1771, count: 274, line:increased
i: 333, data: 1781, previous:1780, count: 275, line:increased
i: 334, data: 1782, previous:1781, count: 276, line:increased
i: 335, data: 1781, previous:1782, count: 276, line:decreased
i: 336, data: 1775, previous:1781, count: 276, line:decreased
i: 337, data: 1786, previous:1775, count: 277, line:increased
i: 338, data: 1798, previous:1786, count: 278, line:increased
i: 339, data: 1814, previous:1798, count: 279, line:increased
i: 340, data: 1818, previous:1814, count: 280, line:increased
i: 341, data: 1826, previous:1818, count: 281, line:increased
i: 342, data: 1791, previous:1826, count: 281, line:decreased
i: 343, data: 1793, previous:1791, count: 282, line:increased
i: 344, data: 1796, previous:1793, count: 283, line:increased
i: 345, data: 1821, previous:1796, count: 284, line:increased
i: 346, data: 1822, previous:1821, count: 285, line:increased
i: 347, data: 1825, previous:1822, count: 286, line:increased
i: 348, data: 1834, previous:1825, count: 287, line:increased
i: 349, data: 1838, previous:1834, count: 288, line:increased
i: 350, data: 1867, previous:1838, count: 289, line:increased
i: 351, data: 1907, previous:1867, count: 290, line:increased
i: 352, data: 1908, previous:1907, count: 291, line:increased
i: 353, data: 1910, previous:1908, count: 292, line:increased
i: 354, data: 1921, previous:1910, count: 293, line:increased
i: 355, data: 1926, previous:1921, count: 294, line:increased
i: 356, data: 1924, previous:1926, count: 294, line:decreased
i: 357, data: 1921, previous:1924, count: 294, line:decreased
i: 358, data: 1941, previous:1921, count: 295, line:increased
i: 359, data: 1945, previous:1941, count: 296, line:increased
i: 360, data: 1958, previous:1945, count: 297, line:increased
i: 361, data: 1957, previous:1958, count: 297, line:decreased
i: 362, data: 1978, previous:1957, count: 298, line:increased
i: 363, data: 1973, previous:1978, count: 298, line:decreased
i: 364, data: 1974, previous:1973, count: 299, line:increased
i: 365, data: 1977, previous:1974, count: 300, line:increased
i: 366, data: 1978, previous:1977, count: 301, line:increased
i: 367, data: 1984, previous:1978, count: 302, line:increased
i: 368, data: 1992, previous:1984, count: 303, line:increased
i: 369, data: 1998, previous:1992, count: 304, line:increased
i: 370, data: 2002, previous:1998, count: 305, line:increased
i: 371, data: 1998, previous:2002, count: 305, line:decreased
i: 372, data: 1993, previous:1998, count: 305, line:decreased
i: 373, data: 1984, previous:1993, count: 305, line:decreased
i: 374, data: 2013, previous:1984, count: 306, line:increased
i: 375, data: 2014, previous:2013, count: 307, line:increased
i: 376, data: 2017, previous:2014, count: 308, line:increased
i: 377, data: 2016, previous:2017, count: 308, line:decreased
i: 378, data: 2019, previous:2016, count: 309, line:increased
i: 379, data: 2024, previous:2019, count: 310, line:increased
i: 380, data: 2031, previous:2024, count: 311, line:increased
i: 381, data: 2032, previous:2031, count: 312, line:increased
i: 382, data: 2042, previous:2032, count: 313, line:increased
i: 383, data: 2041, previous:2042, count: 313, line:decreased
i: 384, data: 2047, previous:2041, count: 314, line:increased
i: 385, data: 2055, previous:2047, count: 315, line:increased
i: 386, data: 2057, previous:2055, count: 316, line:increased
i: 387, data: 2059, previous:2057, count: 317, line:increased
i: 388, data: 2066, previous:2059, count: 318, line:increased
i: 389, data: 2086, previous:2066, count: 319, line:increased
i: 390, data: 2090, previous:2086, count: 320, line:increased
i: 391, data: 2091, previous:2090, count: 321, line:increased
i: 392, data: 2094, previous:2091, count: 322, line:increased
i: 393, data: 2112, previous:2094, count: 323, line:increased
i: 394, data: 2113, previous:2112, count: 324, line:increased
i: 395, data: 2123, previous:2113, count: 325, line:increased
i: 396, data: 2125, previous:2123, count: 326, line:increased
i: 397, data: 2123, previous:2125, count: 326, line:decreased
i: 398, data: 2124, previous:2123, count: 327, line:increased
i: 399, data: 2135, previous:2124, count: 328, line:increased
i: 400, data: 2152, previous:2135, count: 329, line:increased
i: 401, data: 2155, previous:2152, count: 330, line:increased
i: 402, data: 2158, previous:2155, count: 331, line:increased
i: 403, data: 2157, previous:2158, count: 331, line:decreased
i: 404, data: 2169, previous:2157, count: 332, line:increased
i: 405, data: 2168, previous:2169, count: 332, line:decreased
i: 406, data: 2166, previous:2168, count: 332, line:decreased
i: 407, data: 2167, previous:2166, count: 333, line:increased
i: 408, data: 2168, previous:2167, count: 334, line:increased
i: 409, data: 2185, previous:2168, count: 335, line:increased
i: 410, data: 2190, previous:2185, count: 336, line:increased
i: 411, data: 2189, previous:2190, count: 336, line:decreased
i: 412, data: 2190, previous:2189, count: 337, line:increased
i: 413, data: 2198, previous:2190, count: 338, line:increased
i: 414, data: 2170, previous:2198, count: 338, line:decreased
i: 415, data: 2171, previous:2170, count: 339, line:increased
i: 416, data: 2177, previous:2171, count: 340, line:increased
i: 417, data: 2184, previous:2177, count: 341, line:increased
i: 418, data: 2186, previous:2184, count: 342, line:increased
i: 419, data: 2187, previous:2186, count: 343, line:increased
i: 420, data: 2162, previous:2187, count: 343, line:decreased
i: 421, data: 2174, previous:2162, count: 344, line:increased
i: 422, data: 2175, previous:2174, count: 345, line:increased
i: 423, data: 2172, previous:2175, count: 345, line:decreased
i: 424, data: 2180, previous:2172, count: 346, line:increased
i: 425, data: 2182, previous:2180, count: 347, line:increased
i: 426, data: 2188, previous:2182, count: 348, line:increased
i: 427, data: 2213, previous:2188, count: 349, line:increased
i: 428, data: 2226, previous:2213, count: 350, line:increased
i: 429, data: 2228, previous:2226, count: 351, line:increased
i: 430, data: 2227, previous:2228, count: 351, line:decreased
i: 431, data: 2216, previous:2227, count: 351, line:decreased
i: 432, data: 2220, previous:2216, count: 352, line:increased
i: 433, data: 2221, previous:2220, count: 353, line:increased
i: 434, data: 2220, previous:2221, count: 353, line:decreased
i: 435, data: 2212, previous:2220, count: 353, line:decreased
i: 436, data: 2215, previous:2212, count: 354, line:increased
i: 437, data: 2220, previous:2215, count: 355, line:increased
i: 438, data: 2223, previous:2220, count: 356, line:increased
i: 439, data: 2226, previous:2223, count: 357, line:increased
i: 440, data: 2228, previous:2226, count: 358, line:increased
i: 441, data: 2236, previous:2228, count: 359, line:increased
i: 442, data: 2237, previous:2236, count: 360, line:increased
i: 443, data: 2238, previous:2237, count: 361, line:increased
i: 444, data: 2258, previous:2238, count: 362, line:increased
i: 445, data: 2257, previous:2258, count: 362, line:decreased
i: 446, data: 2256, previous:2257, count: 362, line:decreased
i: 447, data: 2260, previous:2256, count: 363, line:increased
i: 448, data: 2261, previous:2260, count: 364, line:increased
i: 449, data: 2271, previous:2261, count: 365, line:increased
i: 450, data: 2294, previous:2271, count: 366, line:increased
i: 451, data: 2297, previous:2294, count: 367, line:increased
i: 452, data: 2309, previous:2297, count: 368, line:increased
i: 453, data: 2311, previous:2309, count: 369, line:increased
i: 454, data: 2327, previous:2311, count: 370, line:increased
i: 455, data: 2326, previous:2327, count: 370, line:decreased
i: 456, data: 2340, previous:2326, count: 371, line:increased
i: 457, data: 2339, previous:2340, count: 371, line:decreased
i: 458, data: 2342, previous:2339, count: 372, line:increased
i: 459, data: 2343, previous:2342, count: 373, line:increased
i: 460, data: 2346, previous:2343, count: 374, line:increased
i: 461, data: 2352, previous:2346, count: 375, line:increased
i: 462, data: 2363, previous:2352, count: 376, line:increased
i: 463, data: 2364, previous:2363, count: 377, line:increased
i: 464, data: 2371, previous:2364, count: 378, line:increased
i: 465, data: 2386, previous:2371, count: 379, line:increased
i: 466, data: 2387, previous:2386, count: 380, line:increased
i: 467, data: 2392, previous:2387, count: 381, line:increased
i: 468, data: 2401, previous:2392, count: 382, line:increased
i: 469, data: 2407, previous:2401, count: 383, line:increased
i: 470, data: 2415, previous:2407, count: 384, line:increased
i: 471, data: 2418, previous:2415, count: 385, line:increased
i: 472, data: 2432, previous:2418, count: 386, line:increased
i: 473, data: 2457, previous:2432, count: 387, line:increased
i: 474, data: 2458, previous:2457, count: 388, line:increased
i: 475, data: 2459, previous:2458, count: 389, line:increased
i: 476, data: 2461, previous:2459, count: 390, line:increased
i: 477, data: 2463, previous:2461, count: 391, line:increased
i: 478, data: 2464, previous:2463, count: 392, line:increased
i: 479, data: 2465, previous:2464, count: 393, line:increased
i: 480, data: 2486, previous:2465, count: 394, line:increased
i: 481, data: 2487, previous:2486, count: 395, line:increased
i: 482, data: 2490, previous:2487, count: 396, line:increased
i: 483, data: 2509, previous:2490, count: 397, line:increased
i: 484, data: 2510, previous:2509, count: 398, line:increased
i: 485, data: 2518, previous:2510, count: 399, line:increased
i: 486, data: 2522, previous:2518, count: 400, line:increased
i: 487, data: 2525, previous:2522, count: 401, line:increased
i: 488, data: 2527, previous:2525, count: 402, line:increased
i: 489, data: 2521, previous:2527, count: 402, line:decreased
i: 490, data: 2522, previous:2521, count: 403, line:increased
i: 491, data: 2526, previous:2522, count: 404, line:increased
i: 492, data: 2529, previous:2526, count: 405, line:increased
i: 493, data: 2530, previous:2529, count: 406, line:increased
i: 494, data: 2552, previous:2530, count: 407, line:increased
i: 495, data: 2548, previous:2552, count: 407, line:decreased
i: 496, data: 2564, previous:2548, count: 408, line:increased
i: 497, data: 2566, previous:2564, count: 409, line:increased
i: 498, data: 2568, previous:2566, count: 410, line:increased
i: 499, data: 2569, previous:2568, count: 411, line:increased
i: 500, data: 2570, previous:2569, count: 412, line:increased
i: 501, data: 2565, previous:2570, count: 412, line:decreased
i: 502, data: 2576, previous:2565, count: 413, line:increased
i: 503, data: 2577, previous:2576, count: 414, line:increased
i: 504, data: 2581, previous:2577, count: 415, line:increased
i: 505, data: 2582, previous:2581, count: 416, line:increased
i: 506, data: 2587, previous:2582, count: 417, line:increased
i: 507, data: 2588, previous:2587, count: 418, line:increased
i: 508, data: 2568, previous:2588, count: 418, line:decreased
i: 509, data: 2569, previous:2568, count: 419, line:increased
i: 510, data: 2563, previous:2569, count: 419, line:decreased
i: 511, data: 2575, previous:2563, count: 420, line:increased
i: 512, data: 2576, previous:2575, count: 421, line:increased
i: 513, data: 2577, previous:2576, count: 422, line:increased
i: 514, data: 2578, previous:2577, count: 423, line:increased
i: 515, data: 2588, previous:2578, count: 424, line:increased
i: 516, data: 2603, previous:2588, count: 425, line:increased
i: 517, data: 2604, previous:2603, count: 426, line:increased
i: 518, data: 2605, previous:2604, count: 427, line:increased
i: 519, data: 2620, previous:2605, count: 428, line:increased
i: 520, data: 2622, previous:2620, count: 429, line:increased
i: 521, data: 2627, previous:2622, count: 430, line:increased
i: 522, data: 2630, previous:2627, count: 431, line:increased
i: 523, data: 2639, previous:2630, count: 432, line:increased
i: 524, data: 2629, previous:2639, count: 432, line:decreased
i: 525, data: 2631, previous:2629, count: 433, line:increased
i: 526, data: 2632, previous:2631, count: 434, line:increased
i: 527, data: 2644, previous:2632, count: 435, line:increased
